41,177
119,210
236,235
209,59
271,137
41,59
286,195
53,177
269,212
109,52
39,316
61,134
258,134
266,3
160,98
150,147
209,177
295,201
271,266
324,240
84,209
163,209
248,273
192,266
78,75
267,216
211,161
260,52
135,125
71,239
180,210
137,240
14,8
279,177
187,198
88,294
31,72
126,109
118,244
280,109
97,266
39,125
201,177
262,269
23,98
209,208
82,266
159,295
150,209
155,269
266,269
248,269
216,269
267,209
286,273
273,69
328,248
84,266
2,275
209,3
297,266
192,126
20,266
39,211
69,177
149,269
42,266
39,260
40,209
46,295
134,92
114,142
261,256
19,240
171,118
85,3
186,39
327,269
175,39
3,113
282,177
220,209
119,177
39,231
73,266
81,269
289,248
82,211
58,177
155,134
211,221
59,177
105,269
160,262
73,281
104,269
161,209
156,134
210,269
269,113
154,134
124,154
248,325
286,46
256,298
236,141
66,289
65,316
152,52
239,35
78,92
95,209
25,246
225,295
277,275
160,266
2,52
49,209
211,128
134,240
154,266
276,297
254,168
279,183
71,52
14,46
209,133
101,220
248,240
263,39
216,209
9,133
95,77
71,109
133,147
18,111
32,266
95,179
239,3
327,172
138,173
288,177
122,209
192,107
297,92
125,30
204,211
23,147
232,240
125,275
279,269
260,275
227,216
47,316
239,93
88,279
192,192
318,98
24,240
323,288
302,281
211,177
173,142
143,209
20,134
216,210
215,169
248,188
227,177
85,297
270,279
126,52
192,111
199,269
41,316
192,269
209,147
269,240
54,147
2,260
242,269
122,177
155,92
262,52
288,79
315,14
46,209
167,269
252,209
207,125
224,50
167,54
315,164
226,109
197,201
82,240
146,147
327,209
226,269
108,92
73,134
82,269
102,134
233,35
187,256
12,269
217,202
167,211
248,210
2,39
26,35
293,256
143,266
245,109
118,168
211,113
72,87
27,240
172,177
211,269
308,266
126,202
118,269
180,209
266,240
51,211
211,210
142,128
209,142
161,177
312,39
276,92
46,54
150,260
26,138
32,118
18,210
213,269
49,239
39,239
117,172
248,266
193,54
316,325
51,275
225,30
238,134
57,269
92,269
98,240
294,87
131,98
281,269
310,154
221,269
209,305
21,118
303,288
32,154
39,240
1,248
262,52
163,211
18,269
308,240
144,209
51,48
118,134
46,59
32,92
82,92
250,209
257,190
33,209
284,98
230,262
50,240
289,300
98,298
184,134
209,81
134,194
315,8
35,177
207,269
86,269
281,266
175,239
181,69
263,186
195,266
286,266
83,269
111,109
201,222
314,220
191,240
250,269
327,279
321,177
46,211
229,240
180,143
182,134
269,117
263,236
156,266
320,194
85,117
101,295
322,92
15,281
140,134
106,98
322,126
318,319
150,132
211,194
160,221
117,177
259,275
101,239
18,46
216,231
277,53
47,325
143,209
66,248
309,266
31,52
209,117
291,209
75,134
326,98
240,222
121,52
141,39
276,209
134,304
67,52
158,209
146,281
31,270
46,231
247,166
137,98
322,109
322,123
211,133
316,177
74,147
9,269
125,295
46,278
310,134
277,48
279,240
281,143
119,3
39,288
311,327
204,209
327,177
220,269
186,269
287,177
207,39
277,288
298,147
109,52
215,295
266,209
11,53
223,288
312,209
119,92
209,113
6,262
32,240
308,258
262,95
65,325
239,92
236,269
178,177
286,303
170,194
8,147
327,212
37,134
166,209
153,260
166,268
118,249
75,32
243,98
44,194
299,69
249,189
314,316
254,134
136,244
171,269
286,210
140,70
317,134
266,298
121,260
51,268
51,209
226,134
102,266
123,109
23,256
321,327
88,87
8,239
281,134
173,7
80,134
254,269
92,104
284,240
148,248
97,46
228,269
237,13
67,92
218,98
110,78
320,297
229,262
71,269
217,172
74,269
274,295
80,266
236,210
202,113
266,222
310,13
35,69
205,262
64,30
208,35
249,134
262,240
4,298
109,92
325,177
216,46
88,262
144,143
31,5
143,134
54,304
214,258
295,177
22,226
153,209
153,275
200,177
252,269
157,288
127,240
126,104
197,222
250,256
29,240
11,288
256,0
199,211
117,201
173,35
286,269
211,149
310,281
244,269
216,248
320,304
285,240
22,109
245,269
37,100
271,98
133,177
120,256
239,134
210,177
28,142
214,240
225,275
248,209
290,298
64,275
320,149
286,239
327,294
76,75
290,241
249,269
316,231
276,170
9,211
91,209
119,269
301,269
155,231
276,210
14,239
42,192
44,149
194,269
96,269
99,134
244,240
54,177
160,211
254,170
50,205
116,240
151,152
36,98
39,269
14,266
78,266
282,68
82,149
39,295
45,262
14,62
22,111
106,298
138,282
248,29
264,53
82,209
266,211
143,3
193,211
239,211
213,209
302,297
118,276
189,235
234,189
236,239
224,262
2
